country,url,wiki_country
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan,Afghanistan
Albania,https://en.wikipedia.org/wiki/Albania,Albania
Algeria,https://en.wikipedia.org/wiki/Algeria,Algeria
Andorra,https://en.wikipedia.org/wiki/Andorra,Andorra
Angola,https://en.wikipedia.org/wiki/Angola,Angola
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,Antigua and Barbuda
Argentina,https://en.wikipedia.org/wiki/Argentina,Argentina
Armenia,https://en.wikipedia.org/wiki/Armenia,Armenia
Australia,https://en.wikipedia.org/wiki/Australia,Australia
Austria,https://en.wikipedia.org/wiki/Austria,Austria
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan,Azerbaijan
Bahamas,https://en.wikipedia.org/wiki/The_Bahamas,Bahamas
Bahrain,https://en.wikipedia.org/wiki/Bahrain,Bahrain
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh,Bangladesh
Barbados,https://en.wikipedia.org/wiki/Barbados,Barbados
Belarus,https://en.wikipedia.org/wiki/Belarus,Belarus
Belgium,https://en.wikipedia.org/wiki/Belgium,Belgium
Belize,https://en.wikipedia.org/wiki/Belize,Belize
Benin,https://en.wikipedia.org/wiki/Benin,Benin
Bhutan,https://en.wikipedia.org/wiki/Bhutan,Bhutan
Bolivia,https://en.wikipedia.org/wiki/Bolivia,Bolivia
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,Bosnia and Herzegovina
Botswana,https://en.wikipedia.org/wiki/Botswana,Botswana
Brazil,https://en.wikipedia.org/wiki/Brazil,Brazil
Brunei,https://en.wikipedia.org/wiki/Brunei,Brunei
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria,Bulgaria
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso,Burkina Faso
Burundi,https://en.wikipedia.org/wiki/Burundi,Burundi
Cabo Verde,https://en.wikipedia.org/wiki/Cape_Verde,Cabo Verde
Cambodia,https://en.wikipedia.org/wiki/Cambodia,Cambodia
Cameroon,https://en.wikipedia.org/wiki/Cameroon,Cameroon
Canada,https://en.wikipedia.org/wiki/Canada,Canada
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic,Central African Republic
Chad,https://en.wikipedia.org/wiki/Chad,Chad
Chile,https://en.wikipedia.org/wiki/Chile,Chile
China,https://en.wikipedia.org/wiki/China,China
Colombia,https://en.wikipedia.org/wiki/Colombia,Colombia
Comoros,https://en.wikipedia.org/wiki/Comoros,Comoros
Congo (Republic of the),https://en.wikipedia.org/wiki/Republic_of_the_Congo,Congo
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica,Costa Rica
Côte d’Ivoire,https://en.wikipedia.org/wiki/Ivory_Coast,Côte d’Ivoire
Croatia,https://en.wikipedia.org/wiki/Croatia,Croatia
Cuba,https://en.wikipedia.org/wiki/Cuba,Cuba
Cyprus,https://en.wikipedia.org/wiki/Cyprus,Cyprus
Czechia,https://en.wikipedia.org/wiki/Czech_Republic,Czechia
Democratic People's Republic of Korea,https://en.wikipedia.org/wiki/North_Korea,North Korea
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,Democratic Republic of the Congo
Denmark,https://en.wikipedia.org/wiki/Denmark,Denmark
Djibouti,https://en.wikipedia.org/wiki/Djibouti,Djibouti
Dominica,https://en.wikipedia.org/wiki/Dominica,Dominica
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic,Dominican Republic
Ecuador,https://en.wikipedia.org/wiki/Ecuador,Ecuador
Egypt,https://en.wikipedia.org/wiki/Egypt,Egypt
El Salvador,https://en.wikipedia.org/wiki/El_Salvador,El Salvador
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea,Equatorial Guinea
Eritrea,https://en.wikipedia.org/wiki/Eritrea,Eritrea
Estonia,https://en.wikipedia.org/wiki/Estonia,Estonia
Eswatini,https://en.wikipedia.org/wiki/Eswatini,Eswatini
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia,Ethiopia
Fiji,https://en.wikipedia.org/wiki/Fiji,Fiji
Finland,https://en.wikipedia.org/wiki/Finland,Finland
France,https://en.wikipedia.org/wiki/France,France
Gabon,https://en.wikipedia.org/wiki/Gabon,Gabon
Gambia,https://en.wikipedia.org/wiki/The_Gambia,Gambia
Georgia,https://en.wikipedia.org/wiki/Georgia_(country),Georgia
Germany,https://en.wikipedia.org/wiki/Germany,Germany
Ghana,https://en.wikipedia.org/wiki/Ghana,Ghana
Greece,https://en.wikipedia.org/wiki/Greece,Greece
Grenada,https://en.wikipedia.org/wiki/Grenada,Grenada
Guatemala,https://en.wikipedia.org/wiki/Guatemala,Guatemala
Guinea,https://en.wikipedia.org/wiki/Guinea,Guinea
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau,Guinea-Bissau
Guyana,https://en.wikipedia.org/wiki/Guyana,Guyana
