person,url,wiki_person
William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare,William Shakespeare
Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein,Albert Einstein
Isaac Newton,https://en.wikipedia.org/wiki/Isaac_Newton,Isaac Newton
Leonardo da Vinci,https://en.wikipedia.org/wiki/Leonardo_da_Vinci,Leonardo da Vinci
Galileo Galilei,https://en.wikipedia.org/wiki/Galileo_Galilei,Galileo Galilei
Charles Darwin,https://en.wikipedia.org/wiki/Charles_Darwin,Charles Darwin
Nikola Tesla,https://en.wikipedia.org/wiki/Nikola_Tesla,Nikola Tesla
Thomas Edison,https://en.wikipedia.org/wiki/Thomas_Edison,Thomas Edison
Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie,Marie Curie
Sigmund Freud,https://en.wikipedia.org/wiki/Sigmund_Freud,Sigmund Freud
Aristotle,https://en.wikipedia.org/wiki/Aristotle,Aristotle
Plato,https://en.wikipedia.org/wiki/Plato,Plato
Socrates,https://en.wikipedia.org/wiki/Socrates,Socrates
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,Alexander the Great
Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar,Julius Caesar
Cleopatra,https://en.wikipedia.org/wiki/Cleopatra,Cleopatra
Napoleon,https://en.wikipedia.org/wiki/Napoleon,Napoleon
Joan of Arc,https://en.wikipedia.org/wiki/Joan_of_Arc,Joan of Arc
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,Genghis Khan
Christopher Columbus,https://en.wikipedia.org/wiki/Christopher_Columbus,Christopher Columbus
George Washington,https://en.wikipedia.org/wiki/George_Washington,George Washington
Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson,Thomas Jefferson
Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,Abraham Lincoln
Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt,Theodore Roosevelt
Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,Franklin D. Roosevelt
John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy,John F. Kennedy
Winston Churchill,https://en.wikipedia.org/wiki/Winston_Churchill,Winston Churchill
Mahatma Gandhi,https://en.wikipedia.org/wiki/Mahatma_Gandhi,Mahatma Gandhi
Martin Luther King Jr.,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,Martin Luther King Jr.
Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela,Nelson Mandela
Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler,Adolf Hitler
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,Joseph Stalin
Vladimir Lenin,https://en.wikipedia.org/wiki/Vladimir_Lenin,Vladimir Lenin
Mao Zedong,https://en.wikipedia.org/wiki/Mao_Zedong,Mao Zedong
Queen Elizabeth II,https://en.wikipedia.org/wiki/Elizabeth_II,Elizabeth II
Princess Diana,"https://en.wikipedia.org/wiki/Diana,_Princess_of_Wales","Diana, Princess of Wales"
Walt Disney,https://en.wikipedia.org/wiki/Walt_Disney,Walt Disney
Charlie Chaplin,https://en.wikipedia.org/wiki/Charlie_Chaplin,Charlie Chaplin
Marilyn Monroe,https://en.wikipedia.org/wiki/Marilyn_Monroe,Marilyn Monroe
Audrey Hepburn,https://en.wikipedia.org/wiki/Audrey_Hepburn,Audrey Hepburn
Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley,Elvis Presley
Michael Jackson,https://en.wikipedia.org/wiki/Michael_Jackson,Michael Jackson
Pablo Picasso,https://en.wikipedia.org/wiki/Pablo_Picasso,Pablo Picasso
Vincent van Gogh,https://en.wikipedia.org/wiki/Vincent_van_Gogh,Vincent van Gogh
Wolfgang Amadeus Mozart,https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,Wolfgang Amadeus Mozart
Ludwig van Beethoven,https://en.wikipedia.org/wiki/Ludwig_van_Beethoven,Ludwig van Beethoven
Muhammad Ali,https://en.wikipedia.org/wiki/Muhammad_Ali,Muhammad Ali
Michael Jordan,https://en.wikipedia.org/wiki/Michael_Jordan,Michael Jordan
Pelé,https://en.wikipedia.org/wiki/Pel%C3%A9,Pelé
Steve Jobs,https://en.wikipedia.org/wiki/Steve_Jobs,Steve Jobs
